V1,V2,V3,V4,V7,V8,V9,V10,Referer,Source,condition,xicondition,Email_time_1,Email_time_2,Email_time_3,Email_time_4,Previously,Q2,Q89,Q90,Q95,Q92_1,Q92_2,Q92_3,Q92_5,Q92_6,Q92_7,Q92_8,Q94_1,Q94_2,Q94_3,Q94_4,Q94_5,Q94_6,Q94_7,Q94_8,Q94_9,Q3,Q4,Q5,Q6,Q7,Q9,Q10_1,Q10_2,Q10_3,Q10_4,Q17_1,Q18_1,Q19_1,Q20,Q21_1,Q21_2,Q21_3,Q21_4,Q21_5,Q21_6,Q22_1,Q39,Q40_1,Q41_1,Q25,Q26,Q27,Q28,Q43,Q44,Q30,Q31,Q33,Q34,Q42,Q35,Q38,study,lab,share,RO.BR.FL_3,RO.BR.FL_8,LocationLatitude,LocationLongitude,LocationAccuracy,X,Birth.Year,Contact,Country,Education,English,Gender,H.Origins,Hispanic,Housing,Ideo.scale.con,Ideo.scale.ind,Ideo.scale.lib,Ideology,Language,Live.in.US,Marital,Occupation,Party,Party.2,Party.scale.dem,Party.scale.other,Party.scale.other_TEXT,Party.scale.rep,Race,Race_TEXT,Rel.Importance,Religion,Residence,Salary,Zip.Code,Zip.Code.2,Age
R_2Ve7AnJZWSpMVS0,null,Anonymous,,0,2/4/21 19:34,2/4/21 19:45,1,,,nytcw,party,2.31,2.31,4.486,1,Yes,1,1,Yes,,White,,,,,,,,,,,,,,,,1,,1,,,,1.6,35.072,36.962,8,30,3,8,Critical threat,Support,Support,Support,Support,,,50,Not sure,4,3,30-60 minutes,Average familiarity with the news,Sometimes,Somewhat disagree,"Network TV news broadcasts (For example: ABC, CBS, or NBC)",Not at all,1,,1,Not sure,Not sure,Not sure,1,,,Yes,FL_18,FL_15|FL_16,39.28120422,-76.74060059,-1,NA,1976,"Yes, both",United States of America,High school graduate,Yes,Male,,,Own,,Lean Conservative,,Neither,,Yes,Never married,Contract Manager,Other,,,Neither,"I consider myself independent and vote based on policy, not party.",,White,,Neither agree nor disagree,None,,"$90,000-$99,999",21228,21219,44
R_1jcBoeCzx0PGj6W,null,Anonymous,,0,2/4/21 9:55,2/4/21 10:04,1,,,peoplesdaily,children,0,0,8.822,0,Yes,1,1,Yes,,White,,,,,,,,,,,,,,,,1,,,,,1,5.803,55.477,58.858,17,60,4,8,Important but not critical threat,Oppose,Oppose,Support,Support,Support,Oppose,55,Not sure,3,4,30-60 minutes,Average familiarity with the news,Sometimes,Neither agree nor disagree,Newspapers and news magazines,Somewhat well,1,1,,More likely to support China,More likely to support the U.S.,Yes,1,,,No,FL_21,FL_16|FL_15,37.46380615,-77.39800262,-1,NA,1951,"Yes, both",United States of America,High school graduate,Yes,Male,,,Own,NA,NA,Strong Liberal,Liberal,NA,Yes,Married,Warehouseman,Other,,NA,Closer to Democrats,NA,NA,White,NA,Strongly agree,Evangelical Protestant,,"$35,000-$39,999",23294,2601,69
R_YcbXI6MHlnbq7eN,null,Anonymous,,0,2/3/21 15:34,2/3/21 15:39,1,android-app://com.google.android.gm/,,peoplesdaily,party,2.801,3.364,4.756,2,Yes,1,1,Yes,,White,,,,,,,,,,,,,,,,1,,,,,1,8.032,29.66,31.255,6,25,1,4,Important but not critical threat,,Oppose,Support,,Support,,63,China Daily,3,3,30-60 minutes,Average familiarity with the news,About half the time,Somewhat agree,"Cable TV news broadcasts (For example: CNN, Fox News, or MSNBC)",Not very well,1,,1,More likely to support the U.S.,More likely to support the U.S.,No,1,,,Yes,FL_21,FL_15|FL_16,43.14930725,-76.2220993,-1,NA,1963,"Yes, both",United States of America,High school graduate,Yes,Female,,No,NA,NA,NA,NA,Conservative,,Yes,NA,Security guard,Republican,,NA,NA,NA,NA,White,NA,NA,NA,,"$22,000-$24,999",13090,13730,57
R_3huWmZeXfcz38nx,null,Anonymous,,0,2/3/21 15:17,2/3/21 15:29,1,,,facebookcw,children,3.68,7.506,9.947,2,Yes,1,1,Yes,,White,,,,,,,,,,,,,,,,1,,,,1,,9.755,45.421,47.55,5,1,1,5,Critical threat,Support,Support,Support,Support,Oppose,Support,61,People.cn (China's People's Daily),1,1,More than 2 hours,High familiarity with the news,Never,Somewhat disagree,Blogs and other websites,Extremely well,1,1,,Not sure,Not sure,Yes,1,"I believe that the Chinese government and it's philosophies are counter to the historical and best interests of the United States.  President Ji's coments on the respect for its peopole is patently false.  They are imprisoning religious believers and have lied to the world at to the real causes and extent of the Corona virus , their reputation and trustworthyness has suffered tremendously/",,Yes,FL_20,FL_16|FL_15,39.72909546,-105.1896973,-1,NA,1946,"Yes, both",United States of America,B.A. or B.S.,Yes,Male,,No,NA,NA,NA,NA,Conservative,,Yes,NA,manager,Other,Republicans,NA,NA,NA,NA,White,NA,NA,NA,,"$75,000-$89,999",80215,80215,74
R_sCiUOaMhd155NVn,null,Anonymous,,0,2/8/21 22:35,2/8/21 22:52,1,,,facebookcw,party,0,0,8.426,0,Yes,1,1,Yes,,Other,,,,,,Other,,,,,,,,,,1,,,,1,,7.659,95.77,100.173,15,50,2,10,Critical threat,Support,Support,Support,,,Support,70,Not sure,5,5,Less than 30 minutes,Average familiarity with the news,Sometimes,Somewhat disagree,Newspapers and news magazines,Somewhat well,1,,1,More likely to support the U.S.,More likely to support the U.S.,No,1,"I personally don’t have a problem with the Chinese people or Chinese Americans, but don’t trust the Chinese communist party or how it handles other humans, or other countries. China may open up to foreign investors, but on the terms of the Chinese Communist Party. Too many control games, not enough freedom.",,Yes,FL_20,FL_15|FL_16,32.25059509,-110.8840027,-1,NA,1955,Only updates on projects,United States of America,High school graduate,Yes,Female,,No,Own,NA,Neither,NA,Neither,,Yes,Divorced,Disabled,Other,Democrats,NA,Neither,None,NA,White,NA,Strongly agree,Other Christian,,"$45,000-$49,999",86401,86023,65
R_6znr0IiYVuByAlb,null,Anonymous,,0,2/3/21 19:02,2/3/21 19:30,1,,,nytcw,children,0,0,1407.978,0,Yes,1,1,Yes,,White,,,,,,,,,,,,,,,,1,,1,,,,6.114,23.167,24.45,5,10,2,10,Critical threat,Support,Oppose,Support,Support,Support,Oppose,55,China Daily,2,4,More than 2 hours,Average familiarity with the news,Sometimes,Somewhat disagree,"Facebook, Twitter and other social media",Somewhat well,1,1,,More likely to support the U.S.,More likely to support the U.S.,Not sure,1,,,No,FL_18,FL_16|FL_15,32.79670715,-117.1367035,-1,NA,1990,"Yes, both",United States of America,Associate's Degree,Yes,Male,,No,Rent,,Neither,,Neither,,Yes,Married,Military,Republican,,,,,Lean Republican,White,,Disagree,Agnostic,,"$60,000-$74,999",92108,82633,30
R_210N1qjkReYOGtj,null,Anonymous,,0,2/4/21 0:41,2/4/21 0:51,1,,,facebookcw,children,0,0,1.98,0,Yes,1,1,Yes,,White,,,,,,,,,,,,,,,,1,,,,1,,20.77,56.638,57.549,4,30,2,9,Critical threat,Oppose,Support,,Oppose,Support,Support,81,People.cn (China's People's Daily),3,3,More than 2 hours,High familiarity with the news,About half the time,Neither agree nor disagree,Newspapers and news magazines,Not very well,1,1,,More likely to support China,More likely to support the U.S.,No,1,,,,FL_20,FL_16|FL_15,37.67709351,-113.0619965,-1,NA,1957,"Yes, both",United States of America,Master's,Yes,Male,,No,Own,NA,Lean Conservative,NA,Neither,,Yes,Married,Consultant,Republican,,NA,NA,NA,Lean Republican,White,NA,Strongly agree,Mormon,,"$135,000-$149,999",84720,92394,63
R_2Ebgnyih3dqFC3L,null,Anonymous,,0,2/3/21 15:53,2/3/21 15:55,1,,,facebookcw,children,1.654,2.904,3.749,4,No,1,1,Yes,,Asian,Indian,Asian,,,,,,,,Indian,,,,,,1,,,,1,,0.519,9.181,9.672,10,37,4,5,Critical threat,Support,Oppose,Oppose,Support,Support,Support,40,China Daily,4,4,30-60 minutes,Low familiarity with the news,Never,Neither agree nor disagree,"Network TV news broadcasts (For example: ABC, CBS, or NBC)",Somewhat well,1,1,,More likely to support China,More likely to support China,No,1,No comment,No I dont,Yes,FL_20,FL_16|FL_15,37.40249634,-121.8659973,-1,NA,NA,,,,,,,,NA,NA,NA,NA,,,,NA,,,,NA,NA,NA,NA,,NA,NA,NA,,,,,
R_2q1tVUzporZaRPD,null,Anonymous,,0,2/5/21 15:44,2/5/21 15:48,1,android-app://com.google.android.gm/,,foxcw,party,2.613,3.028,4.2,2,Yes,1,1,Yes,,White,,,,,,,,,,,,,,,,1,,,1,,,4.052,31.487,32.511,16,37,3,8,Important but not critical threat,Oppose,Oppose,Support,Oppose,Support,Oppose,74,People.cn (China's People's Daily),2,2,More than 2 hours,Complete familiarity with the news,Most of the time,Somewhat agree,"Cable TV news broadcasts (For example: CNN, Fox News, or MSNBC)",Not very well,1,,1,More likely to support the U.S.,More likely to support the U.S.,No,1,,,Yes,FL_19,FL_15|FL_16,29.58000183,-98.27529907,-1,NA,1978,"Yes, both",United States of America,B.A. or B.S.,Yes,Female,,No,Rent,Lean Conservative,NA,NA,Conservative,,Yes,Married,Consultant,Democrat,,Lean Democrat,NA,NA,NA,White,NA,Agree,Other Christian,,"$50,000-$59,999",78148,78148,42
R_sRmv8q9E6dcs8Y9,null,Anonymous,,0,2/9/21 2:04,2/9/21 2:16,1,,,peoplesdaily,children,6.045,8.674,9.622,3,Yes,1,1,Yes,,White,,,,,,,,,,,,,,,,1,,,,,1,3.057,72.761,73.4,20,66,2,8,Critical threat,,Support,Support,Oppose,Support,Support,91,People.cn (China's People's Daily),3,6,Less than 30 minutes,Average familiarity with the news,Sometimes,Somewhat disagree,"Cable TV news broadcasts (For example: CNN, Fox News, or MSNBC)",Somewhat well,1,1,,More likely to support the U.S.,More likely to support the U.S.,No,1,,,No,FL_21,FL_16|FL_15,37.95449829,-121.9758987,-1,NA,1944,"Yes, both",United States of America,Master's,Yes,Male,,,Own,Strong Conservative,,,Conservative,,Yes,Married,Retired,Republican,,,,,Strong Republican,White,,Strongly agree,Evangelical Protestant,,"$100,000-$109,999",94521,94521,76
